CustomerId,FirstName,LastName,VehicleBought,VehicleModel,DatePurchased
PSWRRCAMWN,Kathleen,Tucker,Garrett and Sons,every,2024-05-12
QJHHNO79U8,Cole,Baker,"Watson, White and Lara",simple,2024-04-24
33RGPPWKIH,Rodney,Haas,Reese and Sons,probably,2024-02-02
LA100REPLV,Paul,Campbell,Burke Group,window,2024-03-07
6NAUSMGCCI,Jose,Freeman,"Crawford, Snyder and Mercer",cut,2024-01-03
W1XV2P83LT,Amy,Hernandez,Reilly Inc,how,2024-04-20
MKTUL15VCK,Frank,Valdez,Davis PLC,security,2024-02-13
EQSU16ZS6C,Carla,Gonzalez,Wells-Wolf,consumer,2024-03-15
RH8ZRDO5U9,William,Webb,Williams-Haynes,let,2024-04-04
ZHKXOVC0L3,Donna,Sims,Fernandez-Fox,subject,2024-05-27
SELKY1K12Y,Larry,Edwards,"Hill, Davis and Sullivan",various,2024-01-01
AS96ASBM4H,Christopher,Francis,Grimes LLC,mind,2024-05-02
458T3SPQQI,Lori,Morris,Sloan and Sons,particular,2024-01-24
2D2Q6CDSDE,Scott,Stafford,"Weaver, Bautista and Morrison",yourself,2024-02-25
K0T9ID7C0O,Vanessa,Bryant,Young-Fowler,land,2024-02-11
